leadI_mV,leadII_mV,leadIII_mV
305.0771,305.4410,0.3639
304.8069,306.2534,1.4465
304.9995,305.8323,0.8328
305.1768,305.2287,0.0519
305.2011,305.2698,0.0687
305.2688,305.8952,0.6265
305.2478,305.8674,0.6195
305.1894,305.2588,0.0693
305.1837,305.1804,-0.0034
305.1802,305.2443,0.0641
305.1193,306.1886,1.0693
305.1306,306.9166,1.7860
305.1908,305.6421,0.4513
305.1869,305.1917,0.0048
305.1873,305.1840,-0.0033
305.2061,305.4116,0.2054
305.2137,306.0233,0.8096
305.1781,305.5884,0.4102
305.1820,305.1993,0.0174
305.1846,305.1794,-0.0052
305.1661,305.3820,0.2159
305.1320,306.6375,1.5055
305.2107,306.6078,1.3970
305.1994,305.3784,0.1790
305.1865,305.1832,-0.0033
305.1912,305.2083,0.0171
305.2509,305.6832,0.4323
305.2767,306.0779,0.8012
305.2007,305.3930,0.1924
305.1832,305.1835,0.0003
305.1800,305.2094,0.0293
305.1219,306.1452,1.0233
305.0962,307.7394,2.6432
305.1932,306.2427,1.0495
305.1893,305.2365,0.0472
305.1874,305.1836,-0.0038
305.1928,305.2807,0.0879
305.2070,305.9121,0.7051
305.1891,305.8390,0.6499
305.1833,305.2503,0.0670
305.1835,305.1791,-0.0044
305.1804,305.2821,0.1017
305.1736,306.4962,1.3226
305.2411,307.2007,1.9596
305.2201,305.6825,0.4624
305.1859,305.1938,0.0079
305.1861,305.1868,0.0007
305.1973,305.4507,0.2534
305.2104,306.0948,0.8844
305.1917,305.5928,0.4011
305.1829,305.1969,0.0140
305.1826,305.1814,-0.0012
305.1759,305.4026,0.2268
305.1980,306.7304,1.5324
305.2634,306.6598,1.3964
305.2048,305.3807,0.1759
305.1873,305.1847,-0.0026
305.1940,305.2156,0.0216
305.2514,305.7288,0.4774
305.2588,306.0931,0.8343
305.1937,305.3824,0.1887
305.1838,305.1823,-0.0015
305.1834,305.1963,0.0129
305.1545,305.8034,0.6490
305.1555,307.1075,1.9521
305.2023,306.1085,0.9062
305.1893,305.2329,0.0436
305.1862,305.1815,-0.0047
305.2035,305.3004,0.0969
305.2378,306.0077,0.7699
305.1994,305.8843,0.6849
305.1833,305.2502,0.0668
305.1835,305.1798,-0.0037
305.1770,305.2755,0.0985
305.1587,306.4160,1.2572
305.2374,307.0946,1.8572
305.2210,305.6445,0.4235
305.1876,305.1907,0.0031
305.1886,305.1876,-0.0010
305.2111,305.4826,0.2715
305.2477,306.1677,0.9200
305.2117,305.6171,0.4054
305.1846,305.1996,0.0150
305.1841,305.1819,-0.0022
305.1524,305.4157,0.2633
305.0637,306.7018,1.6382
305.1570,306.5625,1.4054
305.1927,305.3568,0.1640
305.1859,305.1838,-0.0021
305.1901,305.2166,0.0265
305.2266,305.7294,0.5028
305.2222,306.0812,0.8590
305.1862,305.3766,0.1904
305.1827,305.1830,0.0003
305.1820,305.1988,0.0168
305.1613,305.8621,0.7007
305.1841,307.1691,1.9850
305.2199,306.0768,0.8569
305.1898,305.2267,0.0370
305.1874,305.1815,-0.0059
305.1904,305.2930,0.1026
305.1644,305.9479,0.7835
305.1444,305.8301,0.6857
305.1801,305.2448,0.0647
305.1846,305.1802,-0.0044
305.1810,305.2770,0.0960
305.1629,306.4312,1.2683
