leadI_mV,leadII_mV,leadIII_mV
-2.9268,-0.3011,2.6258
-5.4142,-1.3814,4.0329
-6.0095,-2.0138,3.9958
-6.0126,-1.9172,4.0954
-6.0323,-1.8917,4.1406
-6.0372,-1.9146,4.1226
-6.0887,-1.9543,4.1344
-6.1781,-2.0428,4.1353
-6.2330,-2.1639,4.0692
-5.6643,-2.0001,3.6642
-3.0243,-0.7624,2.2619
-3.5045,-0.3553,3.1493
-5.7970,-1.6411,4.1558
-6.0321,-1.9424,4.0898
-6.0835,-1.8693,4.2142
-6.1232,-1.8814,4.2418
-6.1273,-1.8759,4.2514
-6.1642,-1.8977,4.2664
-6.1923,-1.9513,4.2410
-6.2203,-2.0529,4.1673
-5.9799,-1.5094,4.4704
-5.3123,0.0945,5.4068
-5.6585,-1.0333,4.6253
-6.0401,-2.0135,4.0265
-6.0929,-1.9132,4.1796
-6.1200,-1.8390,4.2810
-6.0995,-1.8579,4.2417
-6.1089,-1.9309,4.1779
-6.1490,-2.0246,4.1245
-6.1492,-2.1179,4.0313
-6.1608,-2.1904,3.9704
-5.8235,-1.3938,4.4297
-5.4978,-0.5272,4.9706
-5.9911,-1.6672,4.3239
-6.1581,-1.9410,4.2171
-6.2594,-1.8523,4.4071
-6.3673,-1.8423,4.5250
-6.4056,-1.8692,4.5364
-6.3929,-1.9460,4.4468
-6.2824,-2.0443,4.2382
-6.1716,-2.1334,4.0381
-6.1592,-2.2289,3.9303
-6.1526,-2.2526,3.9000
-6.0934,-2.1738,3.9196
-6.0181,-2.0428,3.9754
-6.0151,-1.9050,4.1101
-6.1038,-1.8224,4.2814
-6.1785,-1.8283,4.3502
-6.2149,-1.8631,4.3518
-6.2076,-1.9339,4.2737
-6.1757,-2.0131,4.1626
-6.1644,-2.1124,4.0519
-6.1787,-2.1544,4.0243
-6.1626,-2.1319,4.0307
-6.1039,-2.0760,4.0279
-6.0422,-1.9725,4.0697
-6.0693,-1.8796,4.1897
-6.1351,-1.8650,4.2701
-6.1545,-1.8898,4.2647
-6.1714,-1.9351,4.2363
-6.1955,-2.0087,4.1868
-6.2025,-2.0895,4.1130
-6.2278,-2.1747,4.0531
-6.2531,-2.2090,4.0441
-6.2439,-2.1762,4.0677
-6.1669,-2.0788,4.0882
-6.0917,-1.9413,4.1504
-6.1234,-1.8470,4.2764
-6.1666,-1.8125,4.3541
-6.1664,-1.8160,4.3504
-6.1823,-1.8729,4.3094
-6.1899,-1.9398,4.2501
-6.1908,-2.0134,4.1774
-6.1921,-2.1211,4.0710
-6.1802,-2.1882,3.9920
-6.1362,-2.1641,3.9721
-6.0704,-2.0534,4.0170
-6.0547,-1.9092,4.1456
-6.1158,-1.8062,4.3096
-6.1518,-1.7870,4.3648
-6.1698,-1.8105,4.3593
-6.1828,-1.8561,4.3266
-6.1571,-1.9245,4.2326
-6.1543,-2.0458,4.1085
-6.1575,-2.1137,4.0438
-6.1184,-2.1091,4.0093
-6.0487,-2.0463,4.0024
-5.9957,-1.9130,4.0827
-6.0195,-1.8149,4.2046
-6.0807,-1.7845,4.2962
-6.1171,-1.8088,4.3083
-6.1679,-1.8906,4.2772
-6.2007,-1.9812,4.2195
-6.1925,-2.0418,4.1507
-6.2002,-2.1102,4.0901
-6.1987,-2.1598,4.0389
-6.1560,-2.1507,4.0053
-6.0925,-2.0501,4.0424
-6.0442,-1.9255,4.1188
-6.0778,-1.8434,4.2344
-6.1342,-1.8477,4.2865
-6.1634,-1.9117,4.2517
-6.1819,-1.9803,4.2016
-6.1956,-2.0416,4.1540
-6.2277,-2.1189,4.1088
-6.2472,-2.1908,4.0564
-6.2345,-2.1631,4.0714
-6.1816,-2.0880,4.0936
-6.1035,-1.9967,4.1068
-6.1200,-1.9000,4.2200
-6.2312,-1.8967,4.3346
-6.3016,-1.9530,4.3486
-6.3106,-2.0422,4.2684
-6.2764,-2.1296,4.1468
-6.2299,-2.1686,4.0613
-6.2338,-2.2228,4.0110
-6.2614,-2.3070,3.9544
-6.2676,-2.2887,3.9789
-6.2354,-2.1950,4.0404
-6.2010,-2.0891,4.1119
-6.2242,-2.0011,4.2231
-6.2627,-1.9896,4.2731
-6.2805,-2.0303,4.2503
-6.2715,-2.0849,4.1866
-6.2481,-2.1534,4.0948
-6.2295,-2.2186,4.0109
-6.2562,-2.3267,3.9295
-6.2647,-2.4092,3.8554
-6.2363,-2.3856,3.8506
-6.1971,-2.2937,3.9034
-6.1757,-2.1882,3.9875
-6.2294,-2.1359,4.0935
-6.3115,-2.1589,4.1525
-6.3523,-2.1957,4.1566
-6.3735,-2.2517,4.1218
-6.3627,-2.3096,4.0531
-6.3647,-2.3846,3.9801
-6.3843,-2.4731,3.9113
-6.3689,-2.4977,3.8712
-6.3196,-2.4443,3.8753
-6.2567,-2.3339,3.9228
-6.2523,-2.2462,4.0061
-6.3042,-2.2132,4.0909
-6.3261,-2.2319,4.0942
-6.3296,-2.2593,4.0703
-6.2859,-2.2722,4.0137
-6.2589,-2.2848,3.9740
-6.2882,-2.3615,3.9267
-6.3159,-2.4234,3.8925
-6.3124,-2.4387,3.8737
-6.2824,-2.3891,3.8934
-6.2413,-2.3011,3.9402
-6.2839,-2.2277,4.0562
-6.3686,-2.2206,4.1479
-6.3780,-2.2346,4.1434
-6.3527,-2.2596,4.0931
-6.3208,-2.3158,4.0050
-6.3138,-2.3626,3.9512
-6.3391,-2.4462,3.8929
-6.3442,-2.4850,3.8592
-6.3229,-2.4458,3.8772
-6.2785,-2.3677,3.9107
-6.2689,-2.2766,3.9924
-6.3360,-2.2398,4.0962
-6.3464,-2.2682,4.0782
-6.3103,-2.3151,3.9951
-6.2562,-2.3659,3.8903
-6.2025,-2.3882,3.8143
-6.2056,-2.4082,3.7974
-6.2735,-2.4594,3.8142
-6.3229,-2.4622,3.8608
-6.3436,-2.3973,3.9463
-6.3154,-2.3219,3.9935
-6.2687,-2.2856,3.9831
-6.2653,-2.2953,3.9700
-6.4018,-2.6068,3.7950
-6.3930,-2.6582,3.7348
-6.3494,-2.6348,3.7145
-6.2824,-2.5582,3.7242
-6.2761,-2.4696,3.8066
-6.3447,-2.4190,3.9257
-6.3454,-2.4221,3.9234
-6.2861,-2.4363,3.8498
-6.2334,-2.4749,3.7584
-6.1956,-2.5189,3.6767
-6.2267,-2.5633,3.6635
-6.2857,-2.6358,3.6499
-6.3151,-2.6704,3.6447
-6.2807,-2.6386,3.6421
-6.2047,-2.5603,3.6445
-6.1872,-2.4820,3.7052
-6.2466,-2.4493,3.7974
-6.2629,-2.4655,3.7975
-6.2582,-2.4879,3.7703
-6.2754,-2.5117,3.7637
-6.2998,-2.5365,3.7633
-6.3431,-2.6193,3.7237
-6.3656,-2.7117,3.6539
-6.3491,-2.6977,3.6514
-6.2852,-2.6155,3.6698
-6.2166,-2.5275,3.6891
-6.2323,-2.4824,3.7499
-6.2735,-2.4886,3.7849
-6.2817,-2.5002,3.7815
-6.2510,-2.5006,3.7504
-6.2174,-2.4977,3.7197
-6.2337,-2.5074,3.7263
-6.2909,-2.5834,3.7075
-6.3300,-2.6699,3.6601
-6.3313,-2.6809,3.6503
-6.2616,-2.6074,3.6541
-6.1840,-2.5263,3.6577
-6.1982,-2.4839,3.7143
-6.2403,-2.5146,3.7257
-6.2675,-2.5560,3.7115
-6.2594,-2.6019,3.6575
-6.2926,-2.6297,3.6629
-6.3264,-2.6493,3.6771
-6.3543,-2.7117,3.6427
-6.3221,-2.7094,3.6127
-6.2147,-2.6420,3.5727
-6.0869,-2.5379,3.5490
-6.0306,-2.4622,3.5684
-6.0780,-2.4637,3.6142
-6.0583,-2.4790,3.5793
-6.0013,-2.4714,3.5299
-5.9519,-2.4512,3.5007
-5.9766,-2.4209,3.5557
-6.0404,-2.3930,3.6474
-6.0752,-2.3289,3.7463
-6.0742,-2.1330,3.9412
-6.0352,-1.8883,4.1470
-5.9963,-1.7158,4.2805
-6.0655,-1.6587,4.4068
-6.1431,-1.6656,4.4775
-6.1459,-1.6943,4.4517
-6.1634,-1.7303,4.4330
-6.1990,-1.7718,4.4271
-6.2598,-1.9123,4.3476
-6.3502,-2.1557,4.1945
-6.4475,-2.4020,4.0455
-6.5078,-2.5598,3.9480
-6.5507,-2.6915,3.8592
-6.5596,-2.7980,3.7616
-6.5879,-2.8803,3.7076
-6.5660,-2.9549,3.6111
-6.4640,-2.9919,3.4722
-6.3631,-3.0179,3.3452
-6.3146,-3.0258,3.2887
-6.3218,-3.0111,3.3107
-6.3466,-3.0304,3.3162
-6.3314,-3.0253,3.3061
-6.2534,-2.9751,3.2782
-6.1552,-2.8715,3.2837
-6.1384,-2.7670,3.3715
-6.2158,-2.7405,3.4753
-6.2356,-2.7693,3.4663
-6.2197,-2.8120,3.4077
-6.1978,-2.8350,3.3628
-6.1907,-2.8561,3.3346
-6.2431,-2.9272,3.3159
-6.2810,-2.9646,3.3164
-6.2240,-2.9061,3.3179
-6.1306,-2.7936,3.3370
-6.0713,-2.6654,3.4058
-6.1284,-2.5978,3.5306
-6.2410,-2.6272,3.6137
-6.2792,-2.6689,3.6103
-6.2410,-2.6684,3.5726
-6.1722,-2.6562,3.5160
-6.1367,-2.6402,3.4965
-6.1611,-2.6543,3.5069
-6.1795,-2.6537,3.5258
-6.1517,-2.6433,3.5084
-6.1161,-2.6177,3.4984
-6.0911,-2.5615,3.5296
-6.1313,-2.5249,3.6063
-6.1942,-2.5548,3.6394
-6.2409,-2.6136,3.6272
-6.2349,-2.6558,3.5792
-6.2114,-2.6570,3.5544
-6.2310,-2.6770,3.5540
-6.2489,-2.7389,3.5100
-6.2468,-2.7250,3.5219
-6.2260,-2.6562,3.5698
-6.1780,-2.5758,3.6022
-6.1728,-2.5049,3.6679
-6.2095,-2.4931,3.7164
-6.1742,-2.5302,3.6440
-6.1189,-2.5549,3.5640
-6.0887,-2.5686,3.5201
-6.0968,-2.5845,3.5123
-6.1151,-2.6492,3.4658
-6.1192,-2.7024,3.4169
-6.1299,-2.6694,3.4606
-6.1289,-2.5784,3.5505
-6.1076,-2.4670,3.6406
-6.1163,-2.4053,3.7109
-6.1155,-2.4081,3.7074
-6.1381,-2.4526,3.6855
-6.1638,-2.4962,3.6676
-6.1628,-2.5243,3.6385
-6.1909,-2.5511,3.6399
-6.2273,-2.6124,3.6149
-6.2260,-2.6508,3.5751
-6.1506,-2.5935,3.5571
-6.0508,-2.4823,3.5685
-6.0197,-2.4302,3.5895
-6.0818,-2.4653,3.6165
-6.1075,-2.5251,3.5823
-6.0645,-2.5475,3.5170
-6.0600,-2.5412,3.5188
-6.1079,-2.5298,3.5781
-6.1454,-2.5680,3.5774
-6.1823,-2.6415,3.5408
-6.1895,-2.6712,3.5184
-6.1586,-2.6346,3.5240
-6.0886,-2.5590,3.5296
-6.0775,-2.5002,3.5773
-6.1255,-2.4848,3.6407
-6.1486,-2.5093,3.6393
-6.1500,-2.5264,3.6236
-6.1421,-2.5493,3.5928
-6.1494,-2.5795,3.5699
-6.1733,-2.6303,3.5429
-6.1875,-2.6589,3.5286
-6.1362,-2.6269,3.5092
-6.0469,-2.5504,3.4965
-5.9523,-2.4408,3.5115
-5.9731,-2.3994,3.5737
-6.0422,-2.4314,3.6108
-6.0780,-2.4435,3.6345
-6.0968,-2.4443,3.6525
-6.1045,-2.4838,3.6207
-6.1435,-2.5329,3.6106
-6.1605,-2.6023,3.5582
-6.1211,-2.6279,3.4932
-6.0438,-2.5846,3.4592
-5.9730,-2.5187,3.4543
-5.9780,-2.4692,3.5088
-6.0389,-2.4589,3.5800
-6.0368,-2.4817,3.5552
-6.0343,-2.5099,3.5244
-6.0370,-2.5288,3.5082
-6.0299,-2.4977,3.5322
-6.0708,-2.5033,3.5675
-6.1453,-2.5674,3.5779
-6.1751,-2.5786,3.5965
-6.1123,-2.5206,3.5916
-5.9912,-2.4251,3.5661
-5.9623,-2.3626,3.5997
-6.0249,-2.3635,3.6615
-6.0512,-2.3937,3.6575
-6.0606,-2.4361,3.6245
-6.0256,-2.4814,3.5442
-5.9815,-2.4984,3.4830
-5.9683,-2.5298,3.4385
-5.9832,-2.5737,3.4095
-5.9892,-2.5707,3.4185
-5.9682,-2.5197,3.4485
-5.9624,-2.4409,3.5215
-6.0206,-2.3981,3.6225
-6.0585,-2.4210,3.6375
-6.0390,-2.4479,3.5911
-5.9992,-2.4787,3.5204
-5.9743,-2.4917,3.4826
-5.9805,-2.5015,3.4790
-6.0126,-2.5893,3.4233
-6.0166,-2.6442,3.3724
-6.0041,-2.6201,3.3840
-5.9523,-2.5332,3.4191
-5.9318,-2.4274,3.5044
-5.9953,-2.3610,3.6343
-6.0283,-2.3677,3.6606
-6.0042,-2.3961,3.6080
-5.9526,-2.4319,3.5207
-5.9009,-2.4450,3.4559
-5.9142,-2.4821,3.4321
-5.9559,-2.5624,3.3935
-5.9680,-2.5796,3.3884
-5.9714,-2.5020,3.4694
-5.9832,-2.4151,3.5681
-6.0405,-2.3675,3.6730
-6.1223,-2.3636,3.7587
-6.1073,-2.3882,3.7190
-6.0166,-2.4101,3.6065
-5.9435,-2.4314,3.5122
-5.9105,-2.4603,3.4502
-5.9119,-2.5281,3.3838
