leadI_mV,leadII_mV,leadIII_mV
4.9654,0.0203,-4.9452
4.4889,-0.0041,-4.4930
1.5323,0.7493,-0.7829
4.1128,0.7552,-3.3575
5.2761,0.0747,-5.2014
5.3992,0.0463,-5.3530
5.3767,0.0531,-5.3235
5.3240,0.0503,-5.2737
5.2479,0.0435,-5.2044
5.1715,0.0328,-5.1387
5.0544,-0.0015,-5.0560
4.4041,-0.0003,-4.4044
3.0554,0.7506,-2.3048
4.9501,1.7466,-3.2035
5.4907,0.4425,-5.0482
5.3996,0.0169,-5.3827
5.4502,0.0496,-5.4006
5.4257,0.0500,-5.3757
5.3892,0.0461,-5.3431
5.3234,0.0423,-5.2810
5.2509,0.0347,-5.2161
5.0947,-0.0105,-5.1052
5.1658,0.4511,-4.7147
5.7320,1.9011,-3.8309
5.5677,0.9730,-4.5947
5.5054,0.0359,-5.4695
5.5997,0.0345,-5.5652
5.5437,0.0470,-5.4967
5.4977,0.0417,-5.4561
5.4067,0.0410,-5.3657
5.3716,0.0436,-5.3280
5.2908,0.0239,-5.2670
5.1334,-0.0213,-5.1547
5.2820,0.5459,-4.7361
5.7536,1.5083,-4.2453
5.5819,0.4591,-5.1228
5.6137,0.0060,-5.6078
5.6700,0.0522,-5.6178
5.6784,0.0668,-5.6116
5.6516,0.0604,-5.5912
5.5720,0.0486,-5.5234
5.4412,0.0441,-5.3971
5.2260,0.0060,-5.2201
5.0508,-0.0513,-5.1022
5.0308,-0.0531,-5.0840
5.1741,-0.0428,-5.2169
5.4603,-0.0291,-5.4894
5.6675,0.0186,-5.6489
5.6234,0.0580,-5.5654
5.5313,0.0586,-5.4726
5.4555,0.0465,-5.4090
5.4095,0.0419,-5.3677
5.3726,0.0332,-5.3394
5.2412,-0.0168,-5.2581
5.1491,-0.0593,-5.2085
5.2117,-0.0546,-5.2664
5.3767,-0.0398,-5.4164
5.5676,-0.0175,-5.5850
5.6437,0.0334,-5.6103
5.6269,0.0562,-5.5707
5.5582,0.0531,-5.5050
5.4568,0.0546,-5.4022
5.4169,0.0507,-5.3662
5.3657,0.0227,-5.3430
5.2291,-0.0436,-5.2727
5.1667,-0.0622,-5.2289
5.2501,-0.0531,-5.3033
5.4744,-0.0390,-5.5134
5.6878,-0.0002,-5.6880
5.7089,0.0515,-5.6574
5.6299,0.0593,-5.5707
5.5490,0.0528,-5.4962
5.4568,0.0452,-5.4116
5.3885,0.0316,-5.3569
5.2599,-0.0143,-5.2742
5.1585,-0.0672,-5.2257
5.1898,-0.0681,-5.2579
5.3616,-0.0570,-5.4187
5.5793,-0.0355,-5.6148
5.6911,0.0116,-5.6795
5.6356,0.0455,-5.5901
5.5327,0.0470,-5.4857
5.4556,0.0469,-5.4087
5.3771,0.0428,-5.3343
5.2974,0.0162,-5.2812
5.1905,-0.0350,-5.2256
5.1262,-0.0650,-5.1912
5.1889,-0.0588,-5.2477
