amostra_mV_x1000
18
20
14
2
1
8
15
15
-6
-23
-12
1
8
4
-2
4
13
17
8
-21
-28
-12
1
6
-1
-6
1
10
13
-2
-26
-21
-5
5
6
-2
-1
7
14
12
-11
-28
-16
-1
5
1
-5
0
10
17
10
-17
-23
-8
2
6
0
-3
4
13
15
0
-23
-19
-4
4
5
-2
-1
7
14
13
-11
-28
-14
0
7
3
-5
0
9
15
8
-16
-22
-7
4
7
0
-5
2
11
14
-1
-25
-21
-6
4
6
-1
-1
8
15
12
-12
-30
-17
-2
6
3
-4
1
11
16
9
-17
-23
-8
4
7
0
-2
6
15
18
-1
-27
-21
-5
5
7
0
1
9
15
13
-10
-26
-14
0
6
2
-5
-1
7
13
7
-16
-22
-7
4
7
0
-2
7
15
18
0
-23
-18
-3
5
5
-2
-1
8
14
13
-10
-28
-15
-1
5
1
-3
2
12
17
7
-20
-25
-8
4
8
0
-2
6
15
17
0
-23
-18
-3
5
5
-3
-3
5
12
12
-8
-23
-11
2
8
4
-1
4
13
17
8
-20
-24
-8
3
6
0
-3
5
13
17
1
-23
-19
-3
7
8
1
1
10
17
15
-10
-27
-15
-1
6
2
-3
2
11
15
6
-21
-26
-10
1
5
0
-3
4
12
15
0
-24
-19
-4
5
6
0
2
11
18
16
-7
-24
-12
1
7
1
-6
0
10
16
6
-22
-27
-10
2
7
0
-3
5
13
17
0
-24
-19
-4
5
5
-3
-2
5
12
11
-10
-25
-14
0
6
2
-5
0
9
14
6
-20
-24
-7
4
8
0
-4
3
12
15
-1
-26
-20
-3
5
5
-2
-2
7
14
13
-8
-22
-10
2
9
4
-2
2
12
17
6
-22
-26
-10
1
5
0
-3
5
13
16
-1
-27
-21
-4
6
6
0
0
9
15
13
-11
-29
-16
-1
7
2
-4
1
10
17
9
-17
-22
-5
6
8
1
0
7
15
17
-1
-25
-19
-4
5
4
-4
-3
6
14
13
-9
-26
-15
-2
4
0
-5
1
12
17
9
-17
-23
-7
3
6
0
-3
5
13
15
-1
-26
-20
-5
4
4
-2
0
9
16
14
-10
-27
-15
0
6
2
-3
2
12
17
7
-19
-23
-8
2
4
-2
-5
3
12
15
-1
-25
-19
-4
5
5
-2
0
8
15
11
-13
-30
-17
-2
5
2
-4
1
11
17
7
-19
-23
-6
5
7
0
-3
5
13
16
0
-24
-19
-3
7
7
-1
0
9
16
14
-10
-27
-15
-1
6
2
-3
2
11
16
6
-21
-24
-8
3
6
0
-2
7
15
18
1
-22
-17
-1
7
7
0
0
8
15
13
-9
-26
-13
0
8
4
0
5
13
18
9
-17
-21
-5
5
9
1
-1
7
14
16
-1
-26
-18
-1
7
6
-1
0
10
18
15
-11
-28
-14
1
8
2
-4
0
10
15
5
-22
-25
-8
4
8
0
-2
6
14
17
0
-24
-18
-3
5
4
-2
0
8
15
12
-12
-28
-15
0
6
1
-5
0
10
15
6
-20
-22
-6
5
9
2
0
7
16
17
0
-23
-18
-3
5
5
-1
1
10
17
13
-12
-27
-14
0
8
3
-2
4
14
18
6
-21
-23
-7
4
7
0
-2
5
14
16
-2
-26
-19
-3
6
7
0
1
10
17
14
-9
-24
-11
2
9
4
-2
2
12
18
7
-18
-20
-5
5
8
1
-1
7
15
16
-2
-26
-19
-2
8
8
1
3
12
19
16
-8
-23
-10
3
10
5
-2
1
11
16
6
-20
-20
-4
6
9
2
0
7
15
17
-2
-25
-18
-2
6
4
-5
-4
5
13
10
-16
-30
-16
-2
5
0
-5
1
11
17
7
-17
-20
-5
6
9
2
0
7
15
17
-2
-26
-19
-3
4
2
-5
-2
8
15
12
-14
-28
-13
0
8
5
0
4
13
17
5
-20
-21
-6
5
8
1
-1
6
13
14
-4
-26
-18
-1
9
8
-1
1
10
16
13
-11
-26
-13
0
5
0
-5
1
11
16
7
-19
-22
-5
5
7
0
-2
5
13
15
20
22
9
-18
-20
-4
6
9
1
-2
5
13
15
-4
-26
-18
-3
7
5
-1
1
11
18
14
-10
-25
-13
0
6
1
-3
2
10
15
1
-26
-28
-11
1
6
0
-2
6
15
17
-3
-26
-18
-2
7
7
0
1
11
17
13
-13
-28
-13
1
8
3
-1
4
13
17
6
-19
-21
-5
5
8
1
0
9
17
18
-1
-24
-16
-1
7
6
-1
0
10
16
12
-13
-26
-13
0
7
2
-2
3
13
19
7
-21
-23
-6
5
9
2
1
9
17
18
-2
-24
-16
-1
6
4
-2
0
10
16
12
-13
-27
-13
1
8
3
-2
4
13
17
4
-22
-22
-6
4
8
1
0
8
15
15
-4
-25
-16
-1
7
6
0
3
12
18
14
-11
-24
-10
1
7
1
-3
3
12
18
7
-19
-20
-4
6
8
1
-1
7
15
