leadI_mV,leadII_mV,leadIII_mV
310.6010,305.2146,-5.3864
310.5771,305.1860,-5.3911
310.5311,305.1385,-5.3927
310.5005,305.1089,-5.3916
310.4916,305.1042,-5.3874
310.4917,305.1075,-5.3842
310.4996,305.1144,-5.3852
310.5057,305.1181,-5.3876
310.5269,305.1393,-5.3876
310.5864,305.1956,-5.3908
310.6204,305.2272,-5.3932
310.6151,305.2136,-5.4015
310.5777,305.1716,-5.4062
310.5287,305.1263,-5.4024
310.4986,305.1013,-5.3973
310.4879,305.0941,-5.3938
310.4860,305.0906,-5.3954
310.4956,305.0978,-5.3978
310.5112,305.1151,-5.3961
310.5498,305.1493,-5.4005
310.5951,305.1931,-5.4019
310.6104,305.2113,-5.3990
310.5949,305.1920,-5.4029
310.5525,305.1486,-5.4039
310.5152,305.1110,-5.4042
310.4982,305.0979,-5.4003
310.4859,305.0898,-5.3961
310.4822,305.0898,-5.3924
310.4890,305.0986,-5.3904
310.5108,305.1135,-5.3973
310.5628,305.1596,-5.4032
310.6068,305.2050,-5.4018
310.6192,305.2152,-5.4040
310.5962,305.1888,-5.4074
310.5483,305.1370,-5.4113
310.5189,305.1073,-5.4116
310.5063,305.0994,-5.4070
310.4940,305.0906,-5.4034
310.4936,305.0922,-5.4014
310.5049,305.1041,-5.4007
310.5338,305.1345,-5.3993
310.5848,305.1847,-5.4001
310.6178,305.2151,-5.4027
310.6124,305.2074,-5.4050
310.5753,305.1683,-5.4069
310.5323,305.1247,-5.4076
310.5096,305.1096,-5.4000
310.5001,305.1040,-5.3961
310.4994,305.1075,-5.3918
310.5096,305.1211,-5.3885
310.5275,305.1393,-5.3883
310.5710,305.1790,-5.3920
310.6172,305.2264,-5.3907
310.6266,305.2388,-5.3877
310.5985,305.2159,-5.3825
310.5422,305.1641,-5.3781
310.4794,305.1164,-5.3630
310.4378,305.0967,-5.3411
310.4068,305.0823,-5.3244
310.3774,305.0643,-5.3131
310.3499,305.0413,-5.3086
310.3273,305.0211,-5.3062
310.3094,305.0117,-5.2977
310.2770,304.9739,-5.3031
310.1970,304.8834,-5.3136
310.1199,304.7928,-5.3271
310.0870,304.7426,-5.3444
310.0738,304.7229,-5.3509
310.0556,304.7083,-5.3473
310.0493,304.7006,-5.3487
310.0839,304.7068,-5.3770
310.1707,304.7602,-5.4105
310.3202,304.8913,-5.4289
310.5078,305.0649,-5.4429
310.6572,305.1982,-5.4591
310.7615,305.2957,-5.4659
310.8153,305.3428,-5.4725
310.8047,305.3285,-5.4762
310.7807,305.3132,-5.4675
310.7621,305.3075,-5.4546
310.7443,305.3042,-5.4401
310.7229,305.2901,-5.4328
310.7081,305.2812,-5.4269
310.7308,305.3085,-5.4223
310.7648,305.3480,-5.4168
310.7695,305.3571,-5.4124
310.7434,305.3306,-5.4128
310.6911,305.2733,-5.4178
310.6357,305.2221,-5.4136
310.6071,305.2010,-5.4061
310.5931,305.1875,-5.4056
310.5793,305.1794,-5.3999
310.5681,305.1793,-5.3888
310.5756,305.1856,-5.3900
310.6129,305.2220,-5.3909
310.6445,305.2487,-5.3958
310.6414,305.2422,-5.3992
310.6052,305.2035,-5.4017
310.5416,305.1404,-5.4012
310.4886,305.0966,-5.3920
310.4645,305.0836,-5.3809
310.4552,305.0710,-5.3842
310.4539,305.0656,-5.3883
310.4650,305.0765,-5.3885
310.4966,305.1118,-5.3848
310.5459,305.1641,-5.3818
310.5771,305.1902,-5.3869
310.5723,305.1813,-5.3910
310.5333,305.1427,-5.3906
310.4874,305.0918,-5.3956
310.4601,305.0695,-5.3906
310.4479,305.0648,-5.3831
310.4421,305.0645,-5.3776
310.4441,305.0685,-5.3756
310.4609,305.0786,-5.3823
310.5003,305.1152,-5.3852
310.5475,305.1619,-5.3857
310.5686,305.1824,-5.3862
310.5510,305.1682,-5.3828
310.4993,305.1181,-5.3812
310.4514,305.0719,-5.3795
310.4318,305.0532,-5.3786
310.4237,305.0478,-5.3759
310.4242,305.0508,-5.3734
