leadI_mV,leadII_mV,leadIII_mV
305.1831,305.1800,-0.0031
305.1789,305.1657,-0.0132
305.1438,304.9126,-0.2312
305.1507,304.8005,-0.3502
305.1850,305.1304,-0.0546
305.1870,305.1827,-0.0042
305.1890,305.1873,-0.0017
305.2609,305.3701,0.1092
305.3329,305.6398,0.3069
305.2148,305.3104,0.0956
305.1824,305.1822,-0.0002
305.1830,305.1805,-0.0025
305.1871,305.2343,0.0472
305.2341,305.4694,0.2353
305.2391,305.3539,0.1148
305.1917,305.1915,-0.0002
305.1865,305.1814,-0.0052
305.2003,305.2065,0.0063
305.3300,305.5176,0.1877
305.3192,305.5774,0.2581
305.1931,305.2278,0.0348
305.1803,305.1805,0.0002
305.1844,305.1833,-0.0011
305.2402,305.3041,0.0639
305.3680,305.4716,0.1035
305.2541,305.2602,0.0061
305.1866,305.1827,-0.0038
305.1865,305.1838,-0.0027
305.2255,305.2667,0.0412
305.3369,305.6300,0.2932
305.2482,305.4460,0.1978
305.1856,305.1944,0.0088
305.1848,305.1823,-0.0025
305.1879,305.2005,0.0126
305.2690,305.4282,0.1592
305.3293,305.4628,0.1335
305.2125,305.2145,0.0021
305.1873,305.1836,-0.0038
305.1899,305.1890,-0.0009
305.2829,305.3826,0.0997
305.3644,305.6573,0.2929
305.2180,305.3111,0.0931
305.1828,305.1833,0.0005
305.1838,305.1819,-0.0020
305.1965,305.2354,0.0389
305.2878,305.4660,0.1783
305.2741,305.3501,0.0760
305.1943,305.1925,-0.0018
305.1879,305.1828,-0.0051
305.2046,305.2123,0.0077
305.3376,305.5436,0.2060
305.3031,305.5965,0.2934
305.1895,305.2302,0.0407
305.1840,305.1805,-0.0035
305.1831,305.1833,0.0002
305.2238,305.2900,0.0663
305.3294,305.4437,0.1143
305.2442,305.2565,0.0123
305.1867,305.1849,-0.0018
305.1844,305.1834,-0.0010
305.2320,305.2771,0.0451
305.3777,305.6519,0.2743
305.2680,305.4432,0.1752
305.1869,305.1921,0.0052
305.1856,305.1817,-0.0039
305.1867,305.1982,0.0115
305.2422,305.4055,0.1633
305.2834,305.4435,0.1601
305.2035,305.2139,0.0104
305.1870,305.1822,-0.0048
305.1907,305.1888,-0.0018
305.3026,305.3952,0.0927
305.3986,305.6674,0.2688
305.2234,305.3065,0.0830
305.1828,305.1821,-0.0007
305.1827,305.1807,-0.0020
305.2039,305.2334,0.0294
305.3427,305.4553,0.1126
305.3059,305.3416,0.0357
305.1950,305.1909,-0.0041
305.1863,305.1844,-0.0018
305.2035,305.2120,0.0085
305.3494,305.5221,0.1727
305.3196,305.5658,0.2462
305.1923,305.2267,0.0344
305.1833,305.1816,-0.0017
305.1826,305.1857,0.0031
305.1721,305.4234,0.2513
305.1903,305.7570,0.5667
305.2012,305.3359,0.1347
305.1859,305.1853,-0.0007
305.1861,305.1848,-0.0013
305.2339,305.2902,0.0563
305.3625,305.6959,0.3333
305.2527,305.4574,0.2047
305.1858,305.1922,0.0064
305.1846,305.1797,-0.0049
305.1861,305.2050,0.0189
305.2310,305.5004,0.2695
305.2725,305.5567,0.2842
305.2037,305.2290,0.0253
305.1859,305.1837,-0.0022
305.1910,305.1905,-0.0005
305.3095,305.4260,0.1164
305.3918,305.7075,0.3157
305.2182,305.3084,0.0902
305.1848,305.1818,-0.0030
