leadI_mV,leadII_mV,leadIII_mV
305.1581,305.2295,0.0713
305.1832,305.1797,-0.0036
305.2224,305.2921,0.0697
305.7039,306.2294,0.5255
306.0081,306.4311,0.4230
305.3896,305.4341,0.0445
305.1901,305.1872,-0.0029
305.1846,305.1858,0.0012
305.0470,305.3381,0.2911
304.7065,305.6367,0.9303
304.9678,305.3618,0.3941
305.1740,305.1888,0.0147
305.1830,305.1829,-0.0001
305.3053,305.3787,0.0734
305.8740,306.1166,0.2427
305.7655,305.8431,0.0776
305.2559,305.2536,-0.0023
305.1857,305.1830,-0.0027
305.1732,305.2045,0.0313
304.9542,305.4810,0.5268
304.7928,305.6198,0.8269
305.0976,305.2660,0.1684
305.1835,305.1818,-0.0017
305.1960,305.2035,0.0076
305.5051,305.7098,0.2047
306.0750,306.3543,0.2793
305.0568,305.6930,0.6362
304.7792,305.6930,0.9138
305.0168,305.3681,0.3513
305.1782,305.1864,0.0082
305.1846,305.1835,-0.0011
305.2850,305.4157,0.1307
305.7508,306.1678,0.4171
305.6429,305.8040,0.1611
305.2357,305.2406,0.0050
305.1858,305.1832,-0.0026
305.1732,305.2117,0.0385
304.9482,305.5243,0.5761
304.8077,305.6365,0.8288
305.1075,305.2599,0.1524
305.1808,305.1798,-0.0010
305.1925,305.2053,0.0128
305.4653,305.6752,0.2100
305.8949,306.1685,0.2736
305.4722,305.5184,0.0462
305.1992,305.1963,-0.0029
305.1859,305.1819,-0.0041
305.1334,305.2756,0.1422
304.8015,305.6797,0.8782
304.8771,305.5157,0.6386
305.1569,305.2043,0.0474
305.1824,305.1795,-0.0028
305.2070,305.2442,0.0372
305.5273,305.8051,0.2778
305.7468,305.9599,0.2131
305.3195,305.3373,0.0178
305.1877,305.1868,-0.0009
305.1836,305.1897,0.0061
305.0577,305.3773,0.3195
304.7916,305.6847,0.8931
305.0285,305.3579,0.3295
305.1792,305.1882,0.0090
305.1830,305.1828,-0.0002
305.2876,305.3619,0.0743
305.7605,306.0052,0.2447
305.6462,305.7437,0.0976
305.2350,305.2361,0.0011
305.1851,305.1824,-0.0027
305.1694,305.2124,0.0430
304.9400,305.5246,0.5846
304.8138,305.6267,0.8129
305.1121,305.2577,0.1456
305.1829,305.1819,-0.0009
305.1956,305.2101,0.0145
305.4767,305.7142,0.2375
305.8891,306.1926,0.3036
305.4547,305.5127,0.0581
305.1969,305.1968,-0.0001
305.1861,305.1839,-0.0022
305.1301,305.2691,0.1390
304.8469,305.6363,0.7894
304.9296,305.4877,0.5581
305.1622,305.2032,0.0410
305.1833,305.1810,-0.0023
305.2096,305.2441,0.0345
305.5395,305.7934,0.2539
305.7525,305.9415,0.1890
305.3186,305.3334,0.0147
305.1880,305.1854,-0.0026
305.1835,305.1870,0.0035
305.0795,305.3823,0.3028
304.8392,305.6831,0.8439
305.0416,305.3503,0.3087
305.1792,305.1841,0.0049
305.1852,305.1843,-0.0009
305.3244,305.4818,0.1574
305.8172,306.2196,0.4024
305.6293,305.7589,0.1296
305.2287,305.2334,0.0047
305.1850,305.1830,-0.0020
305.1677,305.2098,0.0421
304.9209,305.4945,0.5736
304.7960,305.5781,0.7821
305.1104,305.2458,0.1353
305.1832,305.1808,-0.0024
305.1944,305.2039,0.0095
305.4617,305.6475,0.1858
305.8940,306.1453,0.2513
305.4696,305.5119,0.0423
305.1963,305.1959,-0.0004
305.1853,305.1839,-0.0014
305.1536,305.2735,0.1200
304.9312,305.6551,0.7238
304.9671,305.4985,0.5314
305.1637,305.2050,0.0413
305.1822,305.1799,-0.0023
305.2210,305.2596,0.0386
305.6436,305.9243,0.2807
305.8406,306.0434,0.2028
305.3253,305.3412,0.0159
305.1877,305.1858,-0.0020
305.1811,305.1887,0.0076
305.0111,305.3936,0.3825
304.7183,305.6899,0.9716
305.0169,305.3472,0.3303
305.1779,305.1866,0.0087
305.1846,305.1882,0.0037
305.3488,305.5427,0.1939
