leadI_mV,leadII_mV,leadIII_mV
305.2146,305.2288,0.0142
306.0220,306.3207,0.2987
307.2054,307.7117,0.5063
305.8709,305.9885,0.1176
305.2043,305.2018,-0.0025
305.1883,305.1850,-0.0033
305.3331,305.4478,0.1147
305.8152,306.2922,0.4770
305.5428,305.7868,0.2440
305.2030,305.2125,0.0095
305.1829,305.1824,-0.0005
305.3829,305.7139,0.3310
307.1211,308.7520,1.6309
307.4876,308.4165,0.9289
305.5444,305.5949,0.0505
305.1882,305.1849,-0.0033
305.2017,305.2080,0.0063
305.5128,305.7194,0.2067
305.8444,306.2544,0.4100
305.3607,305.4654,0.1048
305.1844,305.1846,0.0002
305.1975,305.2048,0.0073
306.0228,306.3533,0.3305
308.2996,309.0779,0.7783
306.8889,307.1363,0.2473
305.2922,305.2958,0.0036
305.1878,305.1830,-0.0049
305.2477,305.2816,0.0338
305.7350,306.0564,0.3214
305.7621,306.0811,0.3190
305.2559,305.2921,0.0362
305.1835,305.1822,-0.0013
305.2908,305.3686,0.0778
306.9958,307.8338,0.8380
308.4975,309.4044,0.9069
306.1014,306.2297,0.1283
305.2076,305.2025,-0.0051
305.1908,305.1851,-0.0057
305.3524,305.4593,0.1070
305.8216,306.2485,0.4269
305.5154,305.7235,0.2081
305.1999,305.2050,0.0051
305.1833,305.1816,-0.0016
305.4540,305.5604,0.1064
307.4619,308.0496,0.5877
307.6450,308.0600,0.4150
305.5431,305.5794,0.0363
305.1883,305.1838,-0.0044
305.2014,305.2092,0.0078
305.5362,305.7469,0.2108
305.8890,306.2862,0.3972
305.3712,305.4670,0.0959
305.1868,305.1841,-0.0027
305.2041,305.2148,0.0107
306.1499,306.5593,0.4094
308.5142,309.4205,0.9064
306.9405,307.2092,0.2687
305.2930,305.2987,0.0057
305.1863,305.1833,-0.0030
305.2434,305.2885,0.0451
305.7049,306.0926,0.3876
305.7404,306.0948,0.3544
305.2532,305.2893,0.0360
305.1815,305.1790,-0.0026
305.2809,305.3506,0.0697
306.8929,307.6586,0.7657
308.3902,309.2173,0.8271
306.0861,306.2058,0.1198
305.2055,305.2049,-0.0007
305.1898,305.1881,-0.0017
305.3735,305.4809,0.1074
305.9166,306.3305,0.4139
305.5646,305.7673,0.2027
305.2024,305.2074,0.0050
305.1843,305.1807,-0.0036
305.4728,305.5856,0.1127
307.5551,308.1613,0.6063
307.7051,308.1124,0.4073
305.5468,305.5782,0.0313
305.1884,305.1855,-0.0030
305.2069,305.2148,0.0079
305.6012,305.8095,0.2083
305.9740,306.3776,0.4036
305.3837,305.4828,0.0990
305.1859,305.1839,-0.0020
305.2049,305.2166,0.0117
306.2169,306.6293,0.4125
308.6431,309.5740,0.9309
306.9525,307.2405,0.2880
305.2901,305.2970,0.0069
305.1877,305.1847,-0.0030
305.2619,305.3091,0.0472
305.7982,306.2057,0.4075
305.7916,306.1756,0.3840
305.2556,305.2953,0.0397
305.1823,305.1793,-0.0030
305.2737,305.3147,0.0410
306.8135,307.3457,0.5321
