leadI_mV,leadII_mV,leadIII_mV
305.2397,305.5876,0.3479
305.2300,305.5929,0.3629
305.1884,305.2313,0.0429
305.1837,305.1813,-0.0024
305.1758,305.2213,0.0455
305.0182,306.1573,1.1391
304.8540,307.2510,2.3971
305.0959,305.8053,0.7093
305.1870,305.1990,0.0121
305.1881,305.1843,-0.0038
305.1630,305.2740,0.1111
305.0594,305.5026,0.4431
305.1074,305.3250,0.2176
305.1785,305.1837,0.0052
305.1830,305.1772,-0.0058
305.1656,305.3838,0.2182
305.0825,306.9311,1.8487
305.1223,307.1068,1.9845
305.1849,305.4777,0.2928
305.1867,305.1855,-0.0012
305.1858,305.1960,0.0102
305.1537,305.4473,0.2936
305.0952,305.6726,0.5774
305.1572,305.2990,0.1418
305.1808,305.1805,-0.0002
305.1802,305.2015,0.0214
305.1487,306.1335,0.9848
305.1296,308.2053,3.0757
305.1867,306.6945,1.5078
305.1879,305.2792,0.0913
305.1867,305.1835,-0.0032
305.1889,305.2359,0.0470
305.1749,305.6394,0.4644
305.1583,305.6291,0.4708
305.1792,305.2316,0.0525
305.1832,305.1794,-0.0037
305.1795,305.2567,0.0771
305.1475,306.5728,1.4253
305.1454,307.8254,2.6801
305.1825,305.9416,0.7592
305.1857,305.2000,0.0143
305.1865,305.1851,-0.0014
305.2076,305.3257,0.1181
305.2212,305.7440,0.5228
305.1830,305.4679,0.2849
305.1808,305.1937,0.0129
305.1811,305.1827,0.0016
305.1647,305.3953,0.2307
305.0927,307.0278,1.9351
305.1413,307.2347,2.0934
305.1876,305.4992,0.3116
305.1862,305.1859,-0.0003
305.1880,305.1970,0.0090
305.2052,305.4928,0.2876
305.1895,305.7820,0.5926
305.1782,305.3329,0.1547
305.1828,305.1826,-0.0002
305.1806,305.2051,0.0245
305.1574,306.1758,1.0184
305.1459,308.2625,3.1167
305.1904,306.6899,1.4995
305.1894,305.2760,0.0866
305.1877,305.1824,-0.0053
305.1942,305.2393,0.0451
305.2144,305.6647,0.4502
305.1901,305.6484,0.4583
305.1820,305.2345,0.0526
305.1832,305.1806,-0.0026
305.1797,305.2520,0.0722
305.1595,306.5593,1.3997
305.1862,307.9822,2.7960
305.2032,306.0757,0.8724
305.1877,305.2085,0.0208
305.1871,305.1845,-0.0026
305.1981,305.3391,0.1410
305.1993,305.7887,0.5893
305.1809,305.4900,0.3091
305.1826,305.1972,0.0146
305.1818,305.1825,0.0007
305.0810,305.5308,0.4498
304.6500,307.7326,3.0827
304.9054,307.6103,2.7050
305.1826,305.5084,0.3258
305.1885,305.1858,-0.0027
305.1903,305.1969,0.0066
305.2097,305.5009,0.2913
305.2051,305.7937,0.5886
305.1852,305.3351,0.1500
305.1839,305.1829,-0.0010
305.1833,305.2027,0.0193
305.1751,306.1660,0.9909
305.2066,308.3374,3.1308
305.2254,306.7499,1.5244
305.1909,305.2800,0.0891
