leadI_mV,leadII_mV,leadIII_mV
305.2450,305.3494,0.1044
305.1859,305.1833,-0.0026
305.1848,305.1833,-0.0015
305.0929,305.4739,0.3810
304.7488,306.5530,1.8042
304.9278,305.9760,1.0483
305.1710,305.2266,0.0556
305.1837,305.1829,-0.0008
305.2056,305.2225,0.0168
305.3947,305.6570,0.2624
305.3990,305.7293,0.3304
305.2076,305.2480,0.0405
305.1841,305.1815,-0.0026
305.1776,305.1939,0.0163
304.9709,305.5794,0.6085
304.7179,306.1503,1.4324
305.0584,305.4935,0.4351
305.1834,305.1877,0.0042
305.1861,305.1824,-0.0037
305.2469,305.3005,0.0536
305.4529,305.7515,0.2986
305.3232,305.5023,0.1791
305.1907,305.1960,0.0052
305.1833,305.1806,-0.0027
305.1497,305.2369,0.0872
304.8388,305.8320,0.9932
304.8072,305.9934,1.1862
305.1402,305.3076,0.1674
305.1873,305.1822,-0.0051
305.1917,305.1913,-0.0004
305.3049,305.4709,0.1661
305.4241,305.8279,0.4038
305.2415,305.3523,0.1108
305.1837,305.1819,-0.0017
305.1827,305.1826,-0.0002
305.0759,305.3608,0.2849
304.6969,306.0840,1.3870
304.9198,305.7609,0.8411
305.1741,305.2217,0.0476
305.1851,305.1851,0.0000
305.2017,305.2220,0.0203
305.3536,305.6256,0.2720
305.3666,305.6861,0.3195
305.2052,305.2433,0.0381
305.1831,305.1821,-0.0010
305.1758,305.2039,0.0281
304.9249,305.8589,0.9340
304.6037,306.6822,2.0785
305.0273,305.6007,0.5734
305.1840,305.1908,0.0067
305.1863,305.1837,-0.0027
305.2406,305.3024,0.0618
305.4331,305.7708,0.3377
305.3146,305.5142,0.1996
305.1901,305.1949,0.0048
305.1844,305.1801,-0.0043
305.1512,305.2398,0.0886
304.8257,305.8419,1.0162
304.7828,305.9892,1.2064
305.1343,305.3066,0.1723
305.1861,305.1835,-0.0026
305.1909,305.1899,-0.0009
305.3019,305.4335,0.1316
305.4308,305.7622,0.3314
305.2459,305.3397,0.0938
305.1840,305.1829,-0.0011
305.1835,305.1835,0.0000
305.0858,305.3748,0.2891
304.7021,306.1552,1.4531
304.8948,305.8062,0.9115
305.1683,305.2242,0.0559
305.1869,305.1844,-0.0025
305.2076,305.2187,0.0111
305.3893,305.5993,0.2100
305.3969,305.6614,0.2646
305.2069,305.2401,0.0331
305.1828,305.1798,-0.0030
305.1748,305.1922,0.0174
304.9486,305.5657,0.6171
304.6790,306.1394,1.4604
305.0546,305.4992,0.4446
305.1850,305.1908,0.0058
305.1853,305.1821,-0.0032
305.2236,305.2979,0.0743
